round207 result: own hp -547 vs opp hp -403, you lose, hp_diff: -144, avg_loss: 0.9388, Total reward: -14.350000000000005
round208 result: own hp -479 vs opp hp -349, you lose, hp_diff: -130, avg_loss: 0.9527, Total reward: -12.57
round209 result: own hp -572 vs opp hp -363, you lose, hp_diff: -209, avg_loss: 0.8630, Total reward: -23.55
round210 result: own hp -733 vs opp hp -429, you lose, hp_diff: -304, avg_loss: 1.0015, Total reward: -19.11000000000001
round211 result: own hp -525 vs opp hp -362, you lose, hp_diff: -163, avg_loss: 0.8348, Total reward: -15.549999999999999
round212 result: own hp -267 vs opp hp -309, you win, hp_diff: 42, avg_loss: 0.8673, Total reward: 1.7399999999999953
round213 result: own hp -618 vs opp hp -532, you lose, hp_diff: -86, avg_loss: 0.7528, Total reward: -11.399999999999995
round214 result: own hp -606 vs opp hp -235, you lose, hp_diff: -371, avg_loss: 0.8914, Total reward: -35.69000000000002
round215 result: own hp -512 vs opp hp -209, you lose, hp_diff: -303, avg_loss: 0.8015, Total reward: -29.240000000000006
round216 result: own hp -487 vs opp hp -307, you lose, hp_diff: -180, avg_loss: 0.8604, Total reward: -17.930000000000007
round217 result: own hp -463 vs opp hp -395, you lose, hp_diff: -68, avg_loss: 0.8645, Total reward: -5.5600000000000005
round218 result: own hp -636 vs opp hp -264, you lose, hp_diff: -372, avg_loss: 0.9832, Total reward: -37.28999999999999
round219 result: own hp -583 vs opp hp -302, you lose, hp_diff: -281, avg_loss: 0.8926, Total reward: -28.380000000000017
round220 result: own hp -372 vs opp hp -440, you win, hp_diff: 68, avg_loss: 0.9051, Total reward: 6.630000000000002
round221 result: own hp -504 vs opp hp -466, you lose, hp_diff: -38, avg_loss: 0.7676, Total reward: -2.6099999999999985
round222 result: own hp -486 vs opp hp -327, you lose, hp_diff: -159, avg_loss: 0.9572, Total reward: -18.430000000000007
round223 result: own hp -688 vs opp hp -441, you lose, hp_diff: -247, avg_loss: 0.8845, Total reward: -23.739999999999984
round224 result: own hp -657 vs opp hp -445, you lose, hp_diff: -212, avg_loss: 0.8492, Total reward: -21.48000000000001
round225 result: own hp -500 vs opp hp -362, you lose, hp_diff: -138, avg_loss: 0.9453, Total reward: -13.450000000000003
round226 result: own hp -580 vs opp hp -459, you lose, hp_diff: -121, avg_loss: 0.9699, Total reward: -12.579999999999995
round227 result: own hp -451 vs opp hp -245, you lose, hp_diff: -206, avg_loss: 0.9287, Total reward: -20.73000000000003
round228 result: own hp -579 vs opp hp -389, you lose, hp_diff: -190, avg_loss: 0.8794, Total reward: -19.279999999999994
round229 result: own hp -620 vs opp hp -371, you lose, hp_diff: -249, avg_loss: 0.8980, Total reward: -24.94
round230 result: own hp -557 vs opp hp -269, you lose, hp_diff: -288, avg_loss: 0.9379, Total reward: -31.4
round231 result: own hp -429 vs opp hp -472, you win, hp_diff: 43, avg_loss: 0.7830, Total reward: 4.059999999999998
round232 result: own hp -505 vs opp hp -307, you lose, hp_diff: -198, avg_loss: 0.8372, Total reward: -19.860000000000007
round233 result: own hp -788 vs opp hp -406, you lose, hp_diff: -382, avg_loss: 0.8273, Total reward: -37.28
round234 result: own hp -781 vs opp hp -107, you lose, hp_diff: -674, avg_loss: 0.8350, Total reward: -66.35999999999997
round235 result: own hp -507 vs opp hp -354, you lose, hp_diff: -153, avg_loss: 0.8170, Total reward: -14.28
round236 result: own hp -694 vs opp hp -302, you lose, hp_diff: -392, avg_loss: 0.9805, Total reward: -39.53000000000001
round237 result: own hp -579 vs opp hp -316, you lose, hp_diff: -263, avg_loss: 1.1991, Total reward: -25.350000000000005
round238 result: own hp -536 vs opp hp -368, you lose, hp_diff: -168, avg_loss: 0.9042, Total reward: -16.889999999999993
round239 result: own hp -395 vs opp hp -223, you lose, hp_diff: -172, avg_loss: 0.8448, Total reward: -18.439999999999966
